TEAM,Y!,ESPN,CBS,FIRST_NAME,LAST_NAME,GP,MPG,FGM,FGA,FG%  ,3PM,3PA,3P%  ,FTM,FTA,FT%  ,PPG,OREB,DREB,TREB,AST,TO,AST/TO,STL,BLK,PF,DD,TD,TOTMIN,TOTFGM,TOTFGA,FG%  ,TOT3PM,TOT3PA,3P%  ,TOTFTM,TOTFTA,FT%  ,TOTPTS,TOTOR,TOTDR,TOTREB,TOTAST,TOTTO,TOTSTL,TOTBLK,TOTPF,Comments,Name
OKC,"SF,PF",SF,SF,Kevin,Durant,52,38.0,10.1,20.2,50.0%,2.4,6.0,39.5%,8.4,9.6,87.8%,31.00,0.7,6.4,7.1,5.4,3.5,1.54,1.35,0.85,2.0,16,2,1976,525,1050,50.0%,123,312,39.5%,438,499,87.8%,1612,36,333,369,281,182,70,44,104,,Kevin Durant
NYK,"SF,PF","SF,PF",SF,Carmelo,Anthony,74,38.0,9.8,21.4,46.0%,2.2,5.6,39.0%,5.6,6.8,82.5%,27.48,1.9,6.1,8.0,3.6,2.7,1.33,1.15,0.50,3.0,22,1,2812,728,1584,46.0%,162,414,39.0%,415,503,82.5%,2034,141,451,592,266,200,85,37,222,,Carmelo Anthony
HOU,"SG,SF",SG,SG,James,Harden,75,38.0,7.6,16.8,45.0%,2.4,6.6,37.0%,8.1,9.5,85.0%,25.64,0.6,3.6,4.2,6.4,3.7,1.73,1.65,0.45,2.4,15,2,2850,567,1260,45.0%,183,495,37.0%,606,713,85.0%,1923,45,270,315,480,278,124,34,180,,James Harden
CLE,"SF,PF","SF,PF",SF,LeBron,James,75,36.0,9.3,16.2,57.5%,1.3,3.2,40.5%,5.5,7.2,76.0%,25.40,1.2,5.4,6.6,6.6,3.0,2.20,1.65,0.65,1.8,15,3,2700,699,1215,57.5%,97,240,40.5%,410,540,76.0%,1905,90,405,495,495,225,124,49,135,,LeBron James
GSW,"PG,SG","PG,SG",PG,Stephen,Curry,76,36.0,8.4,17.8,47.4%,3.6,8.2,44.0%,4.0,4.5,89.0%,24.49,0.6,3.4,4.0,8.0,3.4,2.35,1.60,0.15,2.5,24,2,2736,641,1353,47.4%,274,623,44.0%,304,342,89.0%,1861,46,258,304,608,258,122,11,190,,Stephen Curry
LAC,"PF,C",PF,PF,Blake,Griffin,78,35.0,8.8,16.6,53.0%,0.5,1.4,33.0%,6.1,8.4,73.0%,24.19,2.5,6.7,9.2,3.8,2.7,1.41,1.20,0.65,3.2,42,1,2730,686,1295,53.0%,36,109,33.0%,478,655,73.0%,1887,195,523,718,296,211,94,51,250,,Blake Griffin
POR,"PF,C","PF,C",PF,LaMarcus,Aldridge,76,37.0,9.7,20.3,47.7%,0.1,0.3,23.5%,4.3,5.3,81.6%,23.76,2.4,8.4,10.8,2.8,1.9,1.47,0.90,1.10,2.3,42,0,2812,736,1543,47.7%,5,23,23.5%,329,403,81.6%,1806,182,638,821,213,144,68,84,175,,LaMarcus Aldridge
OKC,PG,PG,PG,Russell,Westbrook,74,33.0,8.1,18.5,44.0%,1.5,4.5,33.0%,6.0,7.3,82.0%,23.75,1.3,4.2,5.5,8.0,4.3,1.86,1.75,0.25,2.5,26,3,2442,602,1369,44.0%,110,333,33.0%,443,540,82.0%,1758,96,311,407,592,318,130,19,185,BBB,Russell Westbrook
SAC,"PF,C","PF,C",C,DeMarcus,Cousins,74,33.0,8.7,17.2,50.5%,0.0,0.2,20.0%,6.2,8.4,73.5%,23.59,3.2,8.6,11.8,3.2,3.6,0.89,1.50,1.30,3.8,58,1,2442,643,1273,50.5%,3,15,20.0%,457,622,73.5%,1745,237,636,873,237,266,111,96,281,,DeMarcus Cousins
TOR,"SG,SF","SG,SF",SG,DeMar,DeRozan,78,38.0,7.8,17.5,44.4%,0.9,2.7,32.4%,6.3,7.7,82.4%,22.76,0.7,3.7,4.4,3.8,2.3,1.65,1.10,0.35,2.6,2,0,2964,606,1365,44.4%,68,211,32.4%,495,601,82.4%,1775,55,289,343,296,179,86,27,203,,DeMar DeRozan
