TEAM,Y!,ESPN,CBS,FIRST_NAME,LAST_NAME,GP,MPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,PPG,OREB,DREB,TREB,AST,TO,AST/TO,STL,BLK,PF,DD,TD,TOTMIN,TOTFGM,TOTFGA,FG%,TOT3PM,TOT3PA,3P%,TOTFTM,TOTFTA,FT%,TOTPTS,TOTOR,TOTDR,TOTREB,TOTAST,TOTTO,TOTSTL,TOTBLK,TOTPF,Comments,Name
OKC,SF,SF,SF,Kevin,Durant,76,38.5,9.6,19.6,49.00%,2.16,5.6,0.385,6.65,7.6,87.50%,28,0.5,7.2,7.7,3.5,3.6,0.97,1.3,1.1,2,22,1,2926,729.9,1489.6,49.00%,163.86,425.6,0.385,505.4,577.6,87.50%,2129.06,38,547.2,585.2,266,273.6,98.8,83.6,152,,Kevin Durant
MIA,SF/PF,SF,SF,LeBron,James,75,36,9.79,18.8,53.50%,1,2.4,0.375,6.24,8.1,77.00%,26.8,1.5,6.5,8,6.5,3.2,2.03,1.8,0.8,1.6,30,2,2700,734.25,1410,53.50%,75,180,0.375,467.78,607.5,77.00%,2011.28,112.5,487.5,600,487.5,240,135,60,120,,LeBron James
MIN,PF/C,PF/C,PF,Kevin,Love,67,38,8.51,19,44.80%,1.97,5.2,0.378,6.64,8.1,82.00%,25.6,4,9,13,2.2,2.2,1,0.8,0.4,2.7,62,0,2546,570.3,1273,45.00%,131.7,348.4,0.38,445.01,542.7,82.00%,1717.32,268,603,871,147.4,147.4,53.6,26.8,180.9,,Kevin Love
NYK,SF/PF,SF,SF,Carmelo,Anthony,75,36,8.95,19.8,45.20%,1.34,4,0.335,5.74,7,82.00%,25,1.8,4.8,6.6,3.4,2.8,1.21,1.2,0.4,2.8,12,1,2700,671.22,1485,45.20%,100.5,300,0.335,430.5,525,82.00%,1873.44,135,360,495,255,210,90,30,210,,Carmelo Anthony
LAL,SG,SG,SG,Kobe,Bryant,74,36,8.92,19.4,46.00%,1.5,4.4,0.34,5.46,6.5,84.00%,24.8,1.1,4.1,5.2,4,2.8,1.43,1.25,0.15,2,3,0,2664,660.38,1435.6,46.00%,110.7,325.6,0.34,404.04,481,84.00%,1835.5,81.4,303.4,384.8,296,207.2,92.5,11.1,148,ROTO/ B-CARE,Kobe Bryant
OKC,PG,PG,PG,Russell,Westbrook,78,35.5,8.97,19.3,46.50%,1.14,3.3,0.345,5.34,6.4,83.50%,24.4,1.5,3.1,4.6,5.6,3.3,1.7,1.7,0.3,2.2,10,1,2769,700.01,1505.4,46.50%,88.803,257.4,0.345,416.83,499.2,83.50%,1905.66,117,241.8,358.8,436.8,257.4,132.6,23.4,171.6,,Russell Westbrook
LAC,PF/C,PF,PF,Blake,Griffin,74,36,8.77,15.8,55.50%,0,0.2,0.3,4.24,7,60.50%,21.8,3.2,7.8,11,3.4,2.2,1.55,0.95,0.85,3.3,50,0,2664,648.91,1169.2,55.00%,0,14.8,0.3,313.39,518,60.00%,1611.2,236.8,577.2,814,251.6,162.8,70.3,62.9,244.2,H2H,Blake Griffin
CHI,PG,PG,PG,Derrick,Rose,32,34,7.57,17.2,44.00%,1.43,4.2,0.34,5.04,6,84.00%,21.6,0.7,2.7,3.4,7.4,2.9,2.55,0.9,0.5,1.3,5,0,1088,242.18,550.4,44.00%,45.696,134.4,0.34,161.28,192,84.00%,691.33,22.4,86.4,108.8,236.8,92.8,28.8,16,41.6,AVOID,Derrick Rose
NOR,SG,SG,SG,Eric,Gordon,68,36,7.13,16.2,44.00%,2.02,5.6,0.36,5.15,6.6,78.00%,21.4,0.5,2.5,3,4.4,2.8,1.57,1.3,0.3,2.3,5,0,2448,484.7,1101.6,44.00%,137.09,380.8,0.36,350.06,448.8,78.00%,1456.56,34,170,204,299.2,190.4,88.4,20.4,156.4,BBB,Eric Gordon
MIA,PG/SG,SG,SG,Dwyane,Wade,73,32,8.1,16.2,50.00%,0.28,1,0.285,4.7,6.1,77.00%,21.2,1.4,3.4,4.8,4.4,2.6,1.69,1.65,1.25,2.2,6,0,2336,591.3,1182.6,50.00%,20.805,73,0.285,342.88,445.3,77.00%,1546.29,102.2,248.2,350.4,321.2,189.8,120.45,91.25,160.6,B-CARE,Dwyane Wade
POR,PF/C,PF/C,PF,LaMarcus,Aldridge,76,36,8.53,16.8,50.80%,0.1,0.4,0.24,4,5,80.00%,21.2,2.7,5.9,8.6,2.6,1.8,1.44,0.9,0.9,2.8,22,0,2736,648.61,1276.8,51.50%,7.296,30.4,0.24,304,380,80.00%,1608.52,205.2,448.4,653.6,197.6,136.8,68.4,68.4,212.8,ROTO,LaMarcus Aldridge
DAL,PF,PF,PF,Dirk,Nowitzki,66,33,7.192,15.5,46.40%,1.4,3.6,0.388,4.795,5.4,88.80%,20.6,0.8,6.2,7,2.3,1.7,1.353,0.5,0.65,2.2,10,0,2178,474.67,1023,46.80%,92.189,237.6,0.388,316.48,356.4,89.80%,1358.02,52.8,409.2,462,151.8,112.2,33,42.9,145.2,ROTO,Dirk Nowitzki
LAL,C,C,C,Dwight,Howard,76,36,7.5,12.3,61.00%,0,0,0,5.22,9.5,55.00%,20.2,3.6,9.4,13,1.8,2.8,0.64,1.25,2.35,3.3,65,0,2736,570.23,934.8,60.00%,0,0,0,397.1,722,55.00%,1537.56,273.6,714.4,988,136.8,212.8,95,178.6,250.8,H2H,Dwight Howard
LAC,PG,PG,PG,Chris,Paul,75,36,7.2,15,48.00%,1.44,3.8,0.38,4.39,5.1,86.00%,20.2,0.7,2.7,3.4,9.6,2.2,4.36,2.5,0.1,2.3,30,0,2700,540,1125,48.00%,108.3,285,0.38,328.95,382.5,86.00%,1517.25,52.5,202.5,255,720,165,187.5,7.5,172.5,,Chris Paul
