Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Quincy Acy,SF,23,TOT,53,0,720,2.7,5.9,.470,0.2,0.6,.333,2.5,5.2,.486,1.3,1.9,.667,2.6,6.3,8.9,1.2,0.9,1.2,1.3,5.2,7.0
2,Steven Adams,C,20,OKC,66,12,966,2.7,5.6,.483,0.0,0.0,,2.7,5.6,.483,2.4,4.0,.593,4.4,5.7,10.1,1.4,1.0,1.8,2.2,6.4,7.8
3,Jeff Adrien,PF,27,TOT,38,0,508,4.7,8.8,.540,0.0,0.0,,4.7,8.8,.540,2.9,4.5,.651,4.7,8.3,13.0,1.2,1.1,1.8,1.3,4.7,12.4
4,Arron Afflalo,SG,28,ORL,58,58,2113,6.8,14.7,.464,1.9,4.3,.427,5.0,10.3,.479,3.8,4.7,.815,0.5,3.4,3.9,3.5,0.6,0.0,2.0,1.9,19.3
5,Alexis Ajinca,C,25,NOP,41,26,649,4.6,8.4,.550,0.0,0.0,,4.6,8.4,.550,1.6,2.0,.806,3.4,7.0,10.5,1.4,0.7,1.8,2.8,7.0,10.8
6,Cole Aldrich,C,25,NYK,33,1,171,3.4,6.1,.552,0.0,0.0,,3.4,6.1,.552,2.5,3.2,.800,4.0,10.5,14.5,1.9,0.6,3.2,2.1,3.4,9.3
7,LaMarcus Aldridge,PF,28,POR,60,60,2189,9.4,20.5,.459,0.0,0.2,.214,9.4,20.3,.461,4.2,5.2,.819,2.4,8.6,10.9,2.6,0.9,1.0,1.8,2.2,23.1
8,Lavoy Allen,PF,24,TOT,55,2,991,4.5,10.0,.447,0.1,0.5,.154,4.4,9.5,.462,1.0,1.5,.667,4.0,6.4,10.4,2.4,0.8,1.1,1.5,4.3,10.0
9,Ray Allen,SG,38,MIA,60,9,1579,4.4,9.8,.448,2.1,5.5,.379,2.3,4.4,.534,2.0,2.2,.918,0.4,3.6,4.0,2.8,1.0,0.2,1.6,2.2,12.9
10,Tony Allen,SG,32,MEM,40,27,1007,6.0,11.3,.533,0.4,1.3,.306,5.6,10.0,.562,2.1,3.3,.641,2.2,3.5,5.6,2.5,2.4,0.6,2.5,3.3,14.6
11,Al-Farouq Aminu,SF,23,NOP,64,57,1630,4.3,9.0,.477,0.2,0.9,.282,4.1,8.2,.497,1.4,2.2,.633,2.3,6.5,8.7,2.0,1.5,0.7,1.6,2.7,10.2
12,Louis Amundson,PF,31,NOP,18,0,184,3.1,6.3,.500,0.0,0.0,,3.1,6.3,.500,1.2,4.7,.250,5.5,5.3,10.8,1.2,1.8,2.2,2.7,9.6,7.4
13,Chris Andersen,C,35,MIA,57,0,1107,4.6,6.8,.671,0.1,0.4,.273,4.5,6.5,.693,2.8,4.0,.697,3.0,6.1,9.1,0.6,0.8,2.5,1.3,4.4,12.0
14,Alan Anderson,SF,31,BRK,64,25,1466,4.0,10.2,.394,1.9,5.3,.352,2.2,4.9,.440,1.8,2.3,.815,0.7,2.7,3.4,1.7,1.1,0.2,1.2,3.0,11.8
15,James Anderson,SG,24,PHI,66,48,1914,4.9,11.0,.443,1.7,5.3,.320,3.2,5.7,.558,1.2,1.7,.730,1.0,3.7,4.6,2.3,1.2,0.4,1.7,2.4,12.7
16,Ryan Anderson,PF,25,NOP,22,14,795,7.0,16.0,.438,3.0,7.4,.409,4.0,8.6,.463,2.7,2.8,.952,3.0,3.4,6.4,0.8,0.5,0.3,0.9,2.1,19.7
17,Giannis Antetokounmpo,SF,19,MIL,62,21,1505,3.3,8.1,.412,0.8,2.4,.320,2.6,5.7,.450,2.7,3.9,.695,1.6,4.9,6.5,2.9,1.1,1.2,2.3,3.3,10.2
18,Carmelo Anthony,PF,29,NYK,64,64,2483,9.3,20.4,.454,2.1,5.1,.415,7.1,15.3,.467,5.4,6.4,.841,1.9,5.8,7.7,2.8,1.1,0.6,2.3,2.6,26.0
19,Joel Anthony,C,31,TOT,25,0,94,2.7,7.3,.368,0.0,0.0,,2.7,7.3,.368,0.8,0.8,1.000,3.8,4.6,8.4,0.0,0.4,3.1,0.8,3.1,6.1
20,Pero Antic,PF,31,ATL,35,12,587,5.2,11.7,.447,2.6,6.8,.378,2.6,4.8,.544,1.7,2.3,.757,2.0,5.5,7.5,2.3,0.7,0.6,2.0,4.9,14.7
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Trevor Ariza,SF,28,WAS,61,61,2195,5.2,11.3,.457,2.5,6.0,.422,2.6,5.3,.497,2.1,2.6,.781,1.4,5.0,6.4,2.6,1.8,0.3,1.8,2.4,15.0
22,Hilton Armstrong,C,29,GSW,8,0,35,2.1,4.1,.500,0.0,0.0,,2.1,4.1,.500,2.1,8.2,.250,7.2,11.3,18.5,1.0,2.1,2.1,2.1,3.1,6.2
23,Darrell Arthur,SF,25,DEN,54,1,892,5.0,12.1,.413,0.3,0.7,.471,4.7,11.4,.410,1.6,1.8,.867,1.5,4.9,6.5,2.1,1.1,1.4,1.7,6.1,11.9
24,Omer Asik,C,27,HOU,33,8,555,3.0,6.1,.489,0.0,0.0,,3.0,6.1,.489,2.7,4.3,.612,3.7,9.3,13.0,1.0,0.4,0.9,2.3,3.5,8.6
25,D.J. Augustin,PG,26,TOT,56,9,1481,5.2,12.6,.413,2.4,6.0,.403,2.8,6.6,.423,3.5,3.9,.906,0.2,2.1,2.3,6.0,1.0,0.0,2.4,3.0,16.4
26,Gustavo Ayon,C,28,ATL,26,14,429,4.4,8.6,.510,0.0,0.0,,4.4,8.6,.510,0.7,1.7,.400,3.5,7.0,10.5,2.3,2.1,0.8,2.4,3.9,9.4
