1,Kevin Durant,SF,SF,SF,$89,,48.63,7.65,5.54,5.04,6.76,5.63,5.58,5.37,7.07,7.24,6.42,7.33,7.16,6.74,5.88,7.29,6.89,3.90,6.45,3.92,6.39,6.18,6.07,5.21,5.67,3.87
2,LeBron James,SF/PF,SF,SF,$81,,47.63,7.33,5.62,6.21,5.30,6.72,5.09,6.39,4.96,6.59,5.81,7.39,6.87,5.17,6.33,6.96,7.12,4.86,6.03,3.22,7.14,6.88,6.38,5.76,6.72,5.69
3,Chris Paul,PG,PG,PG,$74,,46.76,5.99,3.92,7.51,5.85,8.30,3.94,4.99,6.28,5.19,5.85,5.84,5.83,5.85,5.43,5.80,5.52,4.05,3.90,4.41,5.40,5.34,5.32,5.77,4.62,8.20
4,Russell Westbrook,PG,PG,PG,$55,,44.38,7.01,4.39,5.97,5.50,6.61,4.27,4.47,6.14,6.94,5.88,7.08,7.21,5.64,4.01,6.52,6.33,4.86,4.16,4.30,6.75,6.94,4.51,4.40,5.67,5.20
5,Deron Williams,PG,PG,PG,$52,,43.98,5.90,3.98,7.78,6.22,5.39,4.17,4.58,5.95,7.09,6.02,5.51,5.63,6.31,4.73,6.06,5.89,3.76,4.16,5.07,4.90,4.83,5.29,6.32,5.68,7.39
6,Kyrie Irving,PG,PG,PG,$47,SUPER/ ROTO,43.38,5.89,4.11,6.37,6.26,5.70,4.33,4.41,6.32,6.76,5.54,5.80,5.97,6.15,6.46,5.37,5.05,4.22,4.10,4.54,5.16,5.29,4.47,4.41,4.63,5.79
7,Dwyane Wade,PG/SG,SG,SG,$44,B-CARE,42.91,6.06,4.44,5.38,4.42,6.33,5.73,5.56,4.99,5.69,4.84,6.27,6.05,4.50,3.96,5.90,5.97,4.73,4.30,4.23,6.49,6.44,5.44,4.14,4.66,5.11
8,Josh Smith,SF/PF,PF,SF/PF,$43,H2H,42.76,5.78,6.21,5.16,4.35,5.84,6.59,5.28,3.55,5.75,5.62,6.29,6.17,4.44,3.85,4.99,5.38,5.59,6.49,5.41,6.54,6.60,5.02,5.80,5.67,4.80
9,Dwight Howard,C,C,C,$42,H2H,42.67,5.95,7.53,4.36,4.00,5.50,7.64,8.09,-0.39,6.05,5.85,6.01,4.99,3.95,5.02,6.32,7.97,6.95,7.73,6.28,6.44,5.66,8.43,8.19,4.61,3.61
10,Kevin Love,PF/C,PF,PF/C,$41,,42.61,6.45,6.95,4.41,6.17,4.27,4.42,4.04,5.89,4.74,5.26,6.00,6.29,6.19,5.40,6.74,6.63,6.86,6.89,4.65,5.39,5.61,4.16,7.98,4.61,4.37
11,Kobe Bryant,SG,SG,SG,$41,ROTO/ B-CARE,42.59,6.87,4.59,5.23,5.89,5.49,4.04,4.31,6.18,6.02,5.74,6.81,7.01,6.11,3.53,6.43,6.22,4.46,4.69,3.90,6.30,6.42,4.75,3.93,4.65,4.76
12,Carmelo Anthony,SF/PF,SF,SF,$41,,42.50,6.94,5.12,4.99,5.72,5.38,4.45,4.01,5.89,6.00,5.81,6.87,7.16,5.95,3.40,6.62,6.50,5.15,5.09,5.28,6.44,6.69,4.22,4.53,5.67,4.45
13,DeMarcus Cousins,PF/C,C,PF/C,$41,SUPER,42.49,5.94,6.87,4.52,4.00,6.29,5.87,4.73,4.27,6.35,5.18,6.20,6.26,4.00,4.52,5.90,6.17,7.53,6.38,7.15,6.62,6.97,3.85,6.75,4.61,3.66
14,Al Jefferson,PF/C,C,PF/C,$40,,42.42,5.76,6.13,4.60,4.00,4.49,6.76,5.67,5.02,3.64,5.18,6.57,6.31,3.95,5.02,4.51,4.47,5.39,6.49,5.06,6.98,7.07,4.96,6.07,4.61,5.25
15,LaMarcus Aldridge,PF/C,PF,PF/C,$38,ROTO,42.17,6.15,5.91,4.68,4.12,4.71,5.31,5.92,5.37,4.54,5.85,6.66,6.31,4.15,4.33,5.49,5.43,6.07,5.77,5.41,7.00,6.94,5.55,5.25,4.61,4.84
16,Serge Ibaka,PF/C,PF,PF/C,$37,H2H,42.07,4.11,5.84,3.88,4.33,3.81,9.48,6.07,4.55,3.79,4.51,4.35,4.02,4.44,3.59,3.98,4.02,6.75,5.26,5.41,4.70,4.32,6.56,5.25,5.67,4.18
17,Greg Monroe,C,C,C,$37,,42.07,5.36,6.50,4.68,4.00,5.84,4.99,6.25,4.45,5.75,5.40,5.74,5.32,3.95,5.02,5.06,5.21,7.24,5.99,5.06,6.18,6.00,5.91,6.34,4.61,4.18
18,James Harden,SG/SF,SG,SG,$37,ROTO/ B-CARE,42.02,5.44,4.17,5.26,6.49,5.19,4.28,4.98,6.21,5.33,5.07,4.69,4.70,6.44,6.09,6.24,6.01,3.99,4.33,4.80,3.99,3.76,5.82,3.86,4.64,5.17
19,Ty Lawson,PG,PG,PG/SG,$36,,41.97,5.19,4.00,6.18,5.91,5.88,3.94,5.22,5.65,5.66,5.45,5.11,5.03,5.87,5.87,4.87,4.69,4.15,3.97,3.04,4.67,4.48,5.71,4.95,4.62,6.18
